"richness";"connectance";"diagonal.dominance";"mean.strength";"replicate";"matrix_code"
25;0,283333333333333;1;1,33333333333333;3;"c0.28_d1_s1.33_r3"
25;0,283333333333333;1;1,33333333333333;4;"c0.28_d1_s1.33_r4"
25;0,283333333333333;1;1,33333333333333;5;"c0.28_d1_s1.33_r5"
25;0,283333333333333;1;1,33333333333333;6;"c0.28_d1_s1.33_r6"
25;0,283333333333333;1;1,33333333333333;7;"c0.28_d1_s1.33_r7"
25;0,283333333333333;1;1,33333333333333;8;"c0.28_d1_s1.33_r8"
25;0,283333333333333;1;1,33333333333333;9;"c0.28_d1_s1.33_r9"
25;0,283333333333333;1;1,33333333333333;10;"c0.28_d1_s1.33_r10"
25;0,283333333333333;1;1,55555555555556;1;"c0.28_d1_s1.56_r1"
25;0,283333333333333;1;1,55555555555556;2;"c0.28_d1_s1.56_r2"
25;0,283333333333333;1;1,55555555555556;3;"c0.28_d1_s1.56_r3"
25;0,283333333333333;1;1,55555555555556;4;"c0.28_d1_s1.56_r4"
25;0,283333333333333;1;1,55555555555556;5;"c0.28_d1_s1.56_r5"
25;0,283333333333333;1;1,55555555555556;6;"c0.28_d1_s1.56_r6"
25;0,283333333333333;1;1,55555555555556;7;"c0.28_d1_s1.56_r7"
25;0,283333333333333;1;1,55555555555556;8;"c0.28_d1_s1.56_r8"
25;0,283333333333333;1;1,55555555555556;9;"c0.28_d1_s1.56_r9"
25;0,283333333333333;1;1,55555555555556;10;"c0.28_d1_s1.56_r10"
25;0,283333333333333;1;1,77777777777778;1;"c0.28_d1_s1.78_r1"
25;0,283333333333333;1;1,77777777777778;2;"c0.28_d1_s1.78_r2"
25;0,283333333333333;1;1,77777777777778;3;"c0.28_d1_s1.78_r3"
25;0,283333333333333;1;1,77777777777778;4;"c0.28_d1_s1.78_r4"
25;0,283333333333333;1;1,77777777777778;5;"c0.28_d1_s1.78_r5"
25;0,283333333333333;1;1,77777777777778;6;"c0.28_d1_s1.78_r6"
25;0,283333333333333;1;1,77777777777778;7;"c0.28_d1_s1.78_r7"
25;0,283333333333333;1;1,77777777777778;8;"c0.28_d1_s1.78_r8"
25;0,283333333333333;1;1,77777777777778;9;"c0.28_d1_s1.78_r9"
25;0,283333333333333;1;1,77777777777778;10;"c0.28_d1_s1.78_r10"
25;0,283333333333333;1;2;1;"c0.28_d1_s2_r1"
25;0,283333333333333;1;2;2;"c0.28_d1_s2_r2"
25;0,283333333333333;1;2;3;"c0.28_d1_s2_r3"
25;0,283333333333333;1;2;4;"c0.28_d1_s2_r4"
25;0,283333333333333;1;2;5;"c0.28_d1_s2_r5"
25;0,283333333333333;1;2;6;"c0.28_d1_s2_r6"
25;0,283333333333333;1;2;7;"c0.28_d1_s2_r7"
25;0,283333333333333;1;2;8;"c0.28_d1_s2_r8"
25;0,283333333333333;1;2;9;"c0.28_d1_s2_r9"
25;0,283333333333333;1;2;10;"c0.28_d1_s2_r10"
25;0,361111111111111;0;0;1;"c0.36_d0_s0_r1"
25;0,361111111111111;0;0;2;"c0.36_d0_s0_r2"
25;0,361111111111111;0;0;3;"c0.36_d0_s0_r3"
25;0,361111111111111;0;0;4;"c0.36_d0_s0_r4"
25;0,361111111111111;0;0;5;"c0.36_d0_s0_r5"
25;0,361111111111111;0;0;6;"c0.36_d0_s0_r6"
25;0,361111111111111;0;0;7;"c0.36_d0_s0_r7"
25;0,361111111111111;0;0;8;"c0.36_d0_s0_r8"
25;0,361111111111111;0;0;9;"c0.36_d0_s0_r9"
25;0,361111111111111;0;0;10;"c0.36_d0_s0_r10"
25;0,361111111111111;0;0,222222222222222;1;"c0.36_d0_s0.22_r1"
25;0,361111111111111;0;0,222222222222222;2;"c0.36_d0_s0.22_r2"
25;0,361111111111111;0;0,222222222222222;3;"c0.36_d0_s0.22_r3"
25;0,361111111111111;0;0,222222222222222;4;"c0.36_d0_s0.22_r4"
25;0,361111111111111;0;0,222222222222222;5;"c0.36_d0_s0.22_r5"
25;0,361111111111111;0;0,222222222222222;6;"c0.36_d0_s0.22_r6"
25;0,361111111111111;0;0,222222222222222;7;"c0.36_d0_s0.22_r7"
25;0,361111111111111;0;0,222222222222222;8;"c0.36_d0_s0.22_r8"
25;0,361111111111111;0;0,222222222222222;9;"c0.36_d0_s0.22_r9"
25;0,361111111111111;0;0,222222222222222;10;"c0.36_d0_s0.22_r10"
25;0,361111111111111;0;0,444444444444444;1;"c0.36_d0_s0.44_r1"
25;0,361111111111111;0;0,444444444444444;2;"c0.36_d0_s0.44_r2"
25;0,361111111111111;0;0,444444444444444;3;"c0.36_d0_s0.44_r3"
25;0,361111111111111;0;0,444444444444444;4;"c0.36_d0_s0.44_r4"
25;0,361111111111111;0;0,444444444444444;5;"c0.36_d0_s0.44_r5"
25;0,361111111111111;0;0,444444444444444;6;"c0.36_d0_s0.44_r6"
25;0,361111111111111;0;0,444444444444444;7;"c0.36_d0_s0.44_r7"
25;0,361111111111111;0;0,444444444444444;8;"c0.36_d0_s0.44_r8"
25;0,361111111111111;0;0,444444444444444;9;"c0.36_d0_s0.44_r9"
25;0,361111111111111;0;0,444444444444444;10;"c0.36_d0_s0.44_r10"
25;0,361111111111111;0;0,666666666666667;1;"c0.36_d0_s0.67_r1"
25;0,361111111111111;0;0,666666666666667;2;"c0.36_d0_s0.67_r2"
25;0,361111111111111;0;0,666666666666667;3;"c0.36_d0_s0.67_r3"
25;0,361111111111111;0;0,666666666666667;4;"c0.36_d0_s0.67_r4"
25;0,361111111111111;0;0,666666666666667;5;"c0.36_d0_s0.67_r5"
25;0,361111111111111;0;0,666666666666667;6;"c0.36_d0_s0.67_r6"
25;0,361111111111111;0;0,666666666666667;7;"c0.36_d0_s0.67_r7"
25;0,361111111111111;0;0,666666666666667;8;"c0.36_d0_s0.67_r8"
25;0,361111111111111;0;0,666666666666667;9;"c0.36_d0_s0.67_r9"
25;0,361111111111111;0;0,666666666666667;10;"c0.36_d0_s0.67_r10"
25;0,361111111111111;0;0,888888888888889;1;"c0.36_d0_s0.89_r1"
25;0,361111111111111;0;0,888888888888889;2;"c0.36_d0_s0.89_r2"
25;0,361111111111111;0;0,888888888888889;3;"c0.36_d0_s0.89_r3"
25;0,361111111111111;0;0,888888888888889;4;"c0.36_d0_s0.89_r4"
25;0,361111111111111;0;0,888888888888889;5;"c0.36_d0_s0.89_r5"
25;0,361111111111111;0;0,888888888888889;6;"c0.36_d0_s0.89_r6"
25;0,361111111111111;0;0,888888888888889;7;"c0.36_d0_s0.89_r7"
25;0,361111111111111;0;0,888888888888889;8;"c0.36_d0_s0.89_r8"
25;0,361111111111111;0;0,888888888888889;9;"c0.36_d0_s0.89_r9"
25;0,361111111111111;0;0,888888888888889;10;"c0.36_d0_s0.89_r10"
25;0,361111111111111;0;1,11111111111111;1;"c0.36_d0_s1.11_r1"
25;0,361111111111111;0;1,11111111111111;2;"c0.36_d0_s1.11_r2"
25;0,361111111111111;0;1,11111111111111;3;"c0.36_d0_s1.11_r3"
25;0,361111111111111;0;1,11111111111111;4;"c0.36_d0_s1.11_r4"
25;0,361111111111111;0;1,11111111111111;5;"c0.36_d0_s1.11_r5"
25;0,361111111111111;0;1,11111111111111;6;"c0.36_d0_s1.11_r6"
25;0,361111111111111;0;1,11111111111111;7;"c0.36_d0_s1.11_r7"
25;0,361111111111111;0;1,11111111111111;8;"c0.36_d0_s1.11_r8"
25;0,361111111111111;0;1,11111111111111;9;"c0.36_d0_s1.11_r9"
25;0,361111111111111;0;1,11111111111111;10;"c0.36_d0_s1.11_r10"
25;0,361111111111111;0;1,33333333333333;1;"c0.36_d0_s1.33_r1"
25;0,361111111111111;0;1,33333333333333;2;"c0.36_d0_s1.33_r2"
25;0,361111111111111;0;1,33333333333333;3;"c0.36_d0_s1.33_r3"
25;0,361111111111111;0;1,33333333333333;4;"c0.36_d0_s1.33_r4"
25;0,361111111111111;0;1,33333333333333;5;"c0.36_d0_s1.33_r5"
25;0,361111111111111;0;1,33333333333333;6;"c0.36_d0_s1.33_r6"
25;0,361111111111111;0;1,33333333333333;7;"c0.36_d0_s1.33_r7"
25;0,361111111111111;0;1,33333333333333;8;"c0.36_d0_s1.33_r8"
25;0,361111111111111;0;1,33333333333333;9;"c0.36_d0_s1.33_r9"
25;0,361111111111111;0;1,33333333333333;10;"c0.36_d0_s1.33_r10"
25;0,361111111111111;0;1,55555555555556;1;"c0.36_d0_s1.56_r1"
25;0,361111111111111;0;1,55555555555556;2;"c0.36_d0_s1.56_r2"
25;0,361111111111111;0;1,55555555555556;3;"c0.36_d0_s1.56_r3"
25;0,361111111111111;0;1,55555555555556;4;"c0.36_d0_s1.56_r4"
25;0,361111111111111;0;1,55555555555556;5;"c0.36_d0_s1.56_r5"
25;0,361111111111111;0;1,55555555555556;6;"c0.36_d0_s1.56_r6"
25;0,361111111111111;0;1,55555555555556;7;"c0.36_d0_s1.56_r7"
25;0,361111111111111;0;1,55555555555556;8;"c0.36_d0_s1.56_r8"
25;0,361111111111111;0;1,55555555555556;9;"c0.36_d0_s1.56_r9"
25;0,361111111111111;0;1,55555555555556;10;"c0.36_d0_s1.56_r10"
25;0,361111111111111;0;1,77777777777778;1;"c0.36_d0_s1.78_r1"
25;0,361111111111111;0;1,77777777777778;2;"c0.36_d0_s1.78_r2"
25;0,361111111111111;0;1,77777777777778;3;"c0.36_d0_s1.78_r3"
25;0,361111111111111;0;1,77777777777778;4;"c0.36_d0_s1.78_r4"
25;0,361111111111111;0;1,77777777777778;5;"c0.36_d0_s1.78_r5"
25;0,361111111111111;0;1,77777777777778;6;"c0.36_d0_s1.78_r6"
25;0,361111111111111;0;1,77777777777778;7;"c0.36_d0_s1.78_r7"
25;0,361111111111111;0;1,77777777777778;8;"c0.36_d0_s1.78_r8"
25;0,361111111111111;0;1,77777777777778;9;"c0.36_d0_s1.78_r9"
25;0,361111111111111;0;1,77777777777778;10;"c0.36_d0_s1.78_r10"
25;0,361111111111111;0;2;1;"c0.36_d0_s2_r1"
25;0,361111111111111;0;2;2;"c0.36_d0_s2_r2"
25;0,361111111111111;0;2;3;"c0.36_d0_s2_r3"
25;0,361111111111111;0;2;4;"c0.36_d0_s2_r4"
25;0,361111111111111;0;2;5;"c0.36_d0_s2_r5"
25;0,361111111111111;0;2;6;"c0.36_d0_s2_r6"
25;0,361111111111111;0;2;7;"c0.36_d0_s2_r7"
25;0,361111111111111;0;2;8;"c0.36_d0_s2_r8"
25;0,361111111111111;0;2;9;"c0.36_d0_s2_r9"
25;0,361111111111111;0;2;10;"c0.36_d0_s2_r10"
25;0,361111111111111;0,111111111111111;0;1;"c0.36_d0.11_s0_r1"
25;0,361111111111111;0,111111111111111;0;2;"c0.36_d0.11_s0_r2"
25;0,361111111111111;0,111111111111111;0;3;"c0.36_d0.11_s0_r3"
25;0,361111111111111;0,111111111111111;0;4;"c0.36_d0.11_s0_r4"
25;0,361111111111111;0,111111111111111;0;5;"c0.36_d0.11_s0_r5"
25;0,361111111111111;0,111111111111111;0;6;"c0.36_d0.11_s0_r6"
25;0,361111111111111;0,111111111111111;0;7;"c0.36_d0.11_s0_r7"
25;0,361111111111111;0,111111111111111;0;8;"c0.36_d0.11_s0_r8"
25;0,361111111111111;0,111111111111111;0;9;"c0.36_d0.11_s0_r9"
25;0,361111111111111;0,111111111111111;0;10;"c0.36_d0.11_s0_r10"
25;0,361111111111111;0,111111111111111;0,222222222222222;1;"c0.36_d0.11_s0.22_r1"
25;0,361111111111111;0,111111111111111;0,222222222222222;2;"c0.36_d0.11_s0.22_r2"
25;0,361111111111111;0,111111111111111;0,222222222222222;3;"c0.36_d0.11_s0.22_r3"
25;0,361111111111111;0,111111111111111;0,222222222222222;4;"c0.36_d0.11_s0.22_r4"
25;0,361111111111111;0,111111111111111;0,222222222222222;5;"c0.36_d0.11_s0.22_r5"
25;0,361111111111111;0,111111111111111;0,222222222222222;6;"c0.36_d0.11_s0.22_r6"
25;0,361111111111111;0,111111111111111;0,222222222222222;7;"c0.36_d0.11_s0.22_r7"
25;0,361111111111111;0,111111111111111;0,222222222222222;8;"c0.36_d0.11_s0.22_r8"
25;0,361111111111111;0,111111111111111;0,222222222222222;9;"c0.36_d0.11_s0.22_r9"
25;0,361111111111111;0,111111111111111;0,222222222222222;10;"c0.36_d0.11_s0.22_r10"
25;0,361111111111111;0,111111111111111;0,444444444444444;1;"c0.36_d0.11_s0.44_r1"
25;0,361111111111111;0,111111111111111;0,444444444444444;2;"c0.36_d0.11_s0.44_r2"
25;0,361111111111111;0,111111111111111;0,444444444444444;3;"c0.36_d0.11_s0.44_r3"
25;0,361111111111111;0,111111111111111;0,444444444444444;4;"c0.36_d0.11_s0.44_r4"
25;0,361111111111111;0,111111111111111;0,444444444444444;5;"c0.36_d0.11_s0.44_r5"
25;0,361111111111111;0,111111111111111;0,444444444444444;6;"c0.36_d0.11_s0.44_r6"
25;0,361111111111111;0,111111111111111;0,444444444444444;7;"c0.36_d0.11_s0.44_r7"
25;0,361111111111111;0,111111111111111;0,444444444444444;8;"c0.36_d0.11_s0.44_r8"
25;0,361111111111111;0,111111111111111;0,444444444444444;9;"c0.36_d0.11_s0.44_r9"
25;0,361111111111111;0,111111111111111;0,444444444444444;10;"c0.36_d0.11_s0.44_r10"
25;0,361111111111111;0,111111111111111;0,666666666666667;1;"c0.36_d0.11_s0.67_r1"
25;0,361111111111111;0,111111111111111;0,666666666666667;2;"c0.36_d0.11_s0.67_r2"
25;0,361111111111111;0,111111111111111;0,666666666666667;3;"c0.36_d0.11_s0.67_r3"
25;0,361111111111111;0,111111111111111;0,666666666666667;4;"c0.36_d0.11_s0.67_r4"
25;0,361111111111111;0,111111111111111;0,666666666666667;5;"c0.36_d0.11_s0.67_r5"
25;0,361111111111111;0,111111111111111;0,666666666666667;6;"c0.36_d0.11_s0.67_r6"
25;0,361111111111111;0,111111111111111;0,666666666666667;7;"c0.36_d0.11_s0.67_r7"
25;0,361111111111111;0,111111111111111;0,666666666666667;8;"c0.36_d0.11_s0.67_r8"
25;0,361111111111111;0,111111111111111;0,666666666666667;9;"c0.36_d0.11_s0.67_r9"
25;0,361111111111111;0,111111111111111;0,666666666666667;10;"c0.36_d0.11_s0.67_r10"
25;0,361111111111111;0,111111111111111;0,888888888888889;1;"c0.36_d0.11_s0.89_r1"
25;0,361111111111111;0,111111111111111;0,888888888888889;2;"c0.36_d0.11_s0.89_r2"
25;0,361111111111111;0,111111111111111;0,888888888888889;3;"c0.36_d0.11_s0.89_r3"
25;0,361111111111111;0,111111111111111;0,888888888888889;4;"c0.36_d0.11_s0.89_r4"
25;0,361111111111111;0,111111111111111;0,888888888888889;5;"c0.36_d0.11_s0.89_r5"
25;0,361111111111111;0,111111111111111;0,888888888888889;6;"c0.36_d0.11_s0.89_r6"
25;0,361111111111111;0,111111111111111;0,888888888888889;7;"c0.36_d0.11_s0.89_r7"
25;0,361111111111111;0,111111111111111;0,888888888888889;8;"c0.36_d0.11_s0.89_r8"
25;0,361111111111111;0,111111111111111;0,888888888888889;9;"c0.36_d0.11_s0.89_r9"
25;0,361111111111111;0,111111111111111;0,888888888888889;10;"c0.36_d0.11_s0.89_r10"
25;0,361111111111111;0,111111111111111;1,11111111111111;1;"c0.36_d0.11_s1.11_r1"
25;0,361111111111111;0,111111111111111;1,11111111111111;2;"c0.36_d0.11_s1.11_r2"
25;0,361111111111111;0,111111111111111;1,11111111111111;3;"c0.36_d0.11_s1.11_r3"
25;0,361111111111111;0,111111111111111;1,11111111111111;4;"c0.36_d0.11_s1.11_r4"
25;0,361111111111111;0,111111111111111;1,11111111111111;5;"c0.36_d0.11_s1.11_r5"
25;0,361111111111111;0,111111111111111;1,11111111111111;6;"c0.36_d0.11_s1.11_r6"
25;0,361111111111111;0,111111111111111;1,11111111111111;7;"c0.36_d0.11_s1.11_r7"
25;0,361111111111111;0,111111111111111;1,11111111111111;8;"c0.36_d0.11_s1.11_r8"
25;0,361111111111111;0,111111111111111;1,11111111111111;9;"c0.36_d0.11_s1.11_r9"
25;0,361111111111111;0,111111111111111;1,11111111111111;10;"c0.36_d0.11_s1.11_r10"
25;0,361111111111111;0,111111111111111;1,33333333333333;1;"c0.36_d0.11_s1.33_r1"
25;0,361111111111111;0,111111111111111;1,33333333333333;2;"c0.36_d0.11_s1.33_r2"
25;0,361111111111111;0,111111111111111;1,33333333333333;3;"c0.36_d0.11_s1.33_r3"
25;0,361111111111111;0,111111111111111;1,33333333333333;4;"c0.36_d0.11_s1.33_r4"
25;0,361111111111111;0,111111111111111;1,33333333333333;5;"c0.36_d0.11_s1.33_r5"
25;0,361111111111111;0,111111111111111;1,33333333333333;6;"c0.36_d0.11_s1.33_r6"
25;0,361111111111111;0,111111111111111;1,33333333333333;7;"c0.36_d0.11_s1.33_r7"
25;0,361111111111111;0,111111111111111;1,33333333333333;8;"c0.36_d0.11_s1.33_r8"
25;0,361111111111111;0,111111111111111;1,33333333333333;9;"c0.36_d0.11_s1.33_r9"
25;0,361111111111111;0,111111111111111;1,33333333333333;10;"c0.36_d0.11_s1.33_r10"
25;0,361111111111111;0,111111111111111;1,55555555555556;1;"c0.36_d0.11_s1.56_r1"
25;0,361111111111111;0,111111111111111;1,55555555555556;2;"c0.36_d0.11_s1.56_r2"
25;0,361111111111111;0,111111111111111;1,55555555555556;3;"c0.36_d0.11_s1.56_r3"
25;0,361111111111111;0,111111111111111;1,55555555555556;4;"c0.36_d0.11_s1.56_r4"
25;0,361111111111111;0,111111111111111;1,55555555555556;5;"c0.36_d0.11_s1.56_r5"
25;0,361111111111111;0,111111111111111;1,55555555555556;6;"c0.36_d0.11_s1.56_r6"
25;0,361111111111111;0,111111111111111;1,55555555555556;7;"c0.36_d0.11_s1.56_r7"
25;0,361111111111111;0,111111111111111;1,55555555555556;8;"c0.36_d0.11_s1.56_r8"
25;0,361111111111111;0,111111111111111;1,55555555555556;9;"c0.36_d0.11_s1.56_r9"
25;0,361111111111111;0,111111111111111;1,55555555555556;10;"c0.36_d0.11_s1.56_r10"
25;0,361111111111111;0,111111111111111;1,77777777777778;1;"c0.36_d0.11_s1.78_r1"
25;0,361111111111111;0,111111111111111;1,77777777777778;2;"c0.36_d0.11_s1.78_r2"
25;0,361111111111111;0,111111111111111;1,77777777777778;3;"c0.36_d0.11_s1.78_r3"
25;0,361111111111111;0,111111111111111;1,77777777777778;4;"c0.36_d0.11_s1.78_r4"
25;0,361111111111111;0,111111111111111;1,77777777777778;5;"c0.36_d0.11_s1.78_r5"
25;0,361111111111111;0,111111111111111;1,77777777777778;6;"c0.36_d0.11_s1.78_r6"
25;0,361111111111111;0,111111111111111;1,77777777777778;7;"c0.36_d0.11_s1.78_r7"
25;0,361111111111111;0,111111111111111;1,77777777777778;8;"c0.36_d0.11_s1.78_r8"
25;0,361111111111111;0,111111111111111;1,77777777777778;9;"c0.36_d0.11_s1.78_r9"
25;0,361111111111111;0,111111111111111;1,77777777777778;10;"c0.36_d0.11_s1.78_r10"
25;0,361111111111111;0,111111111111111;2;1;"c0.36_d0.11_s2_r1"
25;0,361111111111111;0,111111111111111;2;2;"c0.36_d0.11_s2_r2"
25;0,361111111111111;0,111111111111111;2;3;"c0.36_d0.11_s2_r3"
25;0,361111111111111;0,111111111111111;2;4;"c0.36_d0.11_s2_r4"
25;0,361111111111111;0,111111111111111;2;5;"c0.36_d0.11_s2_r5"
25;0,361111111111111;0,111111111111111;2;6;"c0.36_d0.11_s2_r6"
25;0,361111111111111;0,111111111111111;2;7;"c0.36_d0.11_s2_r7"
25;0,361111111111111;0,111111111111111;2;8;"c0.36_d0.11_s2_r8"
25;0,361111111111111;0,111111111111111;2;9;"c0.36_d0.11_s2_r9"
25;0,361111111111111;0,111111111111111;2;10;"c0.36_d0.11_s2_r10"
25;0,361111111111111;0,222222222222222;0;1;"c0.36_d0.22_s0_r1"
25;0,361111111111111;0,222222222222222;0;2;"c0.36_d0.22_s0_r2"
25;0,361111111111111;0,222222222222222;0;3;"c0.36_d0.22_s0_r3"
25;0,361111111111111;0,222222222222222;0;4;"c0.36_d0.22_s0_r4"
25;0,361111111111111;0,222222222222222;0;5;"c0.36_d0.22_s0_r5"
25;0,361111111111111;0,222222222222222;0;6;"c0.36_d0.22_s0_r6"
25;0,361111111111111;0,222222222222222;0;7;"c0.36_d0.22_s0_r7"
25;0,361111111111111;0,222222222222222;0;8;"c0.36_d0.22_s0_r8"
25;0,361111111111111;0,222222222222222;0;9;"c0.36_d0.22_s0_r9"
25;0,361111111111111;0,222222222222222;0;10;"c0.36_d0.22_s0_r10"
25;0,361111111111111;0,222222222222222;0,222222222222222;1;"c0.36_d0.22_s0.22_r1"
25;0,361111111111111;0,222222222222222;0,222222222222222;2;"c0.36_d0.22_s0.22_r2"
25;0,361111111111111;0,222222222222222;0,222222222222222;3;"c0.36_d0.22_s0.22_r3"
25;0,361111111111111;0,222222222222222;0,222222222222222;4;"c0.36_d0.22_s0.22_r4"
25;0,361111111111111;0,222222222222222;0,222222222222222;5;"c0.36_d0.22_s0.22_r5"
25;0,361111111111111;0,222222222222222;0,222222222222222;6;"c0.36_d0.22_s0.22_r6"
25;0,361111111111111;0,222222222222222;0,222222222222222;7;"c0.36_d0.22_s0.22_r7"
25;0,361111111111111;0,222222222222222;0,222222222222222;8;"c0.36_d0.22_s0.22_r8"
25;0,361111111111111;0,222222222222222;0,222222222222222;9;"c0.36_d0.22_s0.22_r9"
25;0,361111111111111;0,222222222222222;0,222222222222222;10;"c0.36_d0.22_s0.22_r10"
25;0,361111111111111;0,222222222222222;0,444444444444444;1;"c0.36_d0.22_s0.44_r1"
25;0,361111111111111;0,222222222222222;0,444444444444444;2;"c0.36_d0.22_s0.44_r2"
25;0,361111111111111;0,222222222222222;0,444444444444444;3;"c0.36_d0.22_s0.44_r3"
25;0,361111111111111;0,222222222222222;0,444444444444444;4;"c0.36_d0.22_s0.44_r4"
25;0,361111111111111;0,222222222222222;0,444444444444444;5;"c0.36_d0.22_s0.44_r5"
25;0,361111111111111;0,222222222222222;0,444444444444444;6;"c0.36_d0.22_s0.44_r6"
25;0,361111111111111;0,222222222222222;0,444444444444444;7;"c0.36_d0.22_s0.44_r7"
25;0,361111111111111;0,222222222222222;0,444444444444444;8;"c0.36_d0.22_s0.44_r8"
25;0,361111111111111;0,222222222222222;0,444444444444444;9;"c0.36_d0.22_s0.44_r9"
25;0,361111111111111;0,222222222222222;0,444444444444444;10;"c0.36_d0.22_s0.44_r10"
25;0,361111111111111;0,222222222222222;0,666666666666667;1;"c0.36_d0.22_s0.67_r1"
25;0,361111111111111;0,222222222222222;0,666666666666667;2;"c0.36_d0.22_s0.67_r2"
25;0,361111111111111;0,222222222222222;0,666666666666667;3;"c0.36_d0.22_s0.67_r3"
25;0,361111111111111;0,222222222222222;0,666666666666667;4;"c0.36_d0.22_s0.67_r4"
25;0,361111111111111;0,222222222222222;0,666666666666667;5;"c0.36_d0.22_s0.67_r5"
25;0,361111111111111;0,222222222222222;0,666666666666667;6;"c0.36_d0.22_s0.67_r6"
25;0,361111111111111;0,222222222222222;0,666666666666667;7;"c0.36_d0.22_s0.67_r7"
25;0,361111111111111;0,222222222222222;0,666666666666667;8;"c0.36_d0.22_s0.67_r8"
25;0,361111111111111;0,222222222222222;0,666666666666667;9;"c0.36_d0.22_s0.67_r9"
25;0,361111111111111;0,222222222222222;0,666666666666667;10;"c0.36_d0.22_s0.67_r10"
25;0,361111111111111;0,222222222222222;0,888888888888889;1;"c0.36_d0.22_s0.89_r1"
25;0,361111111111111;0,222222222222222;0,888888888888889;2;"c0.36_d0.22_s0.89_r2"
25;0,361111111111111;0,222222222222222;0,888888888888889;3;"c0.36_d0.22_s0.89_r3"
25;0,361111111111111;0,222222222222222;0,888888888888889;4;"c0.36_d0.22_s0.89_r4"
25;0,361111111111111;0,222222222222222;0,888888888888889;5;"c0.36_d0.22_s0.89_r5"
25;0,361111111111111;0,222222222222222;0,888888888888889;6;"c0.36_d0.22_s0.89_r6"
25;0,361111111111111;0,222222222222222;0,888888888888889;7;"c0.36_d0.22_s0.89_r7"
25;0,361111111111111;0,222222222222222;0,888888888888889;8;"c0.36_d0.22_s0.89_r8"
25;0,361111111111111;0,222222222222222;0,888888888888889;9;"c0.36_d0.22_s0.89_r9"
25;0,361111111111111;0,222222222222222;0,888888888888889;10;"c0.36_d0.22_s0.89_r10"
25;0,361111111111111;0,222222222222222;1,11111111111111;1;"c0.36_d0.22_s1.11_r1"
25;0,361111111111111;0,222222222222222;1,11111111111111;2;"c0.36_d0.22_s1.11_r2"
25;0,361111111111111;0,222222222222222;1,11111111111111;3;"c0.36_d0.22_s1.11_r3"
25;0,361111111111111;0,222222222222222;1,11111111111111;4;"c0.36_d0.22_s1.11_r4"
25;0,361111111111111;0,222222222222222;1,11111111111111;5;"c0.36_d0.22_s1.11_r5"
25;0,361111111111111;0,222222222222222;1,11111111111111;6;"c0.36_d0.22_s1.11_r6"
25;0,361111111111111;0,222222222222222;1,11111111111111;7;"c0.36_d0.22_s1.11_r7"
25;0,361111111111111;0,222222222222222;1,11111111111111;8;"c0.36_d0.22_s1.11_r8"
25;0,361111111111111;0,222222222222222;1,11111111111111;9;"c0.36_d0.22_s1.11_r9"
25;0,361111111111111;0,222222222222222;1,11111111111111;10;"c0.36_d0.22_s1.11_r10"
25;0,361111111111111;0,222222222222222;1,33333333333333;1;"c0.36_d0.22_s1.33_r1"
25;0,361111111111111;0,222222222222222;1,33333333333333;2;"c0.36_d0.22_s1.33_r2"
25;0,361111111111111;0,222222222222222;1,33333333333333;3;"c0.36_d0.22_s1.33_r3"
25;0,361111111111111;0,222222222222222;1,33333333333333;4;"c0.36_d0.22_s1.33_r4"
25;0,361111111111111;0,222222222222222;1,33333333333333;5;"c0.36_d0.22_s1.33_r5"
25;0,361111111111111;0,222222222222222;1,33333333333333;6;"c0.36_d0.22_s1.33_r6"
25;0,361111111111111;0,222222222222222;1,33333333333333;7;"c0.36_d0.22_s1.33_r7"
25;0,361111111111111;0,222222222222222;1,33333333333333;8;"c0.36_d0.22_s1.33_r8"
25;0,361111111111111;0,222222222222222;1,33333333333333;9;"c0.36_d0.22_s1.33_r9"
25;0,361111111111111;0,222222222222222;1,33333333333333;10;"c0.36_d0.22_s1.33_r10"
25;0,361111111111111;0,222222222222222;1,55555555555556;1;"c0.36_d0.22_s1.56_r1"
25;0,361111111111111;0,222222222222222;1,55555555555556;2;"c0.36_d0.22_s1.56_r2"
25;0,361111111111111;0,222222222222222;1,55555555555556;3;"c0.36_d0.22_s1.56_r3"
25;0,361111111111111;0,222222222222222;1,55555555555556;4;"c0.36_d0.22_s1.56_r4"
25;0,361111111111111;0,222222222222222;1,55555555555556;5;"c0.36_d0.22_s1.56_r5"
25;0,361111111111111;0,222222222222222;1,55555555555556;6;"c0.36_d0.22_s1.56_r6"
25;0,361111111111111;0,222222222222222;1,55555555555556;7;"c0.36_d0.22_s1.56_r7"
25;0,361111111111111;0,222222222222222;1,55555555555556;8;"c0.36_d0.22_s1.56_r8"
25;0,361111111111111;0,222222222222222;1,55555555555556;9;"c0.36_d0.22_s1.56_r9"
25;0,361111111111111;0,222222222222222;1,55555555555556;10;"c0.36_d0.22_s1.56_r10"
25;0,361111111111111;0,222222222222222;1,77777777777778;1;"c0.36_d0.22_s1.78_r1"
25;0,361111111111111;0,222222222222222;1,77777777777778;2;"c0.36_d0.22_s1.78_r2"
25;0,361111111111111;0,222222222222222;1,77777777777778;3;"c0.36_d0.22_s1.78_r3"
25;0,361111111111111;0,222222222222222;1,77777777777778;4;"c0.36_d0.22_s1.78_r4"
25;0,361111111111111;0,222222222222222;1,77777777777778;5;"c0.36_d0.22_s1.78_r5"
